,Unnamed: 0,aiddata_id,aiddata_2_id,year,donor,recipient,commitment_amount_usd_constant,coalesced_purpose_code,coalesced_purpose_name
265,266,3003843.0,,1981,United States,Brazil,2051177.0,32120,Industrial development
271,272,3003849.0,,1981,United States,Brazil,4232586.0,23020,Power generation/non-renewable sources
272,273,3003850.0,,1982,United States,Brazil,37058396.0,21050,Air transport
276,277,3003854.0,,1984,United States,Brazil,16121846.0,21050,Air transport
278,279,3003856.0,,1985,United States,Brazil,109224325.0,23020,Power generation/non-renewable sources
280,281,3003898.0,,1985,United States,Brazil,98740041.0,21030,Rail transport
286,287,3003904.0,,1986,United States,Brazil,94740438.0,21050,Air transport
287,288,3003905.0,,1987,United States,Brazil,481343738.0,21050,Air transport
289,290,3003907.0,,1989,United States,Brazil,3187902.0,23020,Power generation/non-renewable sources
291,292,3003909.0,,1997,United States,India,651235.0,23020,Power generation/non-renewable sources
292,293,3003920.0,,1994,United States,India,66171888.0,32120,Industrial development
294,295,3003922.0,,1994,United States,India,428541466.0,32120,Industrial development
296,297,3003925.0,,1995,United States,India,41362381.0,32120,Industrial development
297,298,3003926.0,,1996,United States,India,10178966.0,21050,Air transport
298,299,3003927.0,,1996,United States,India,100277997.0,23020,Power generation/non-renewable sources
299,300,3003928.0,,1996,United States,India,17735714.0,32120,Industrial development
301,302,3003930.0,,1997,United States,India,45641044.0,32120,Industrial development
306,307,3003964.0,,1993,United States,Brazil,7826094.0,23020,Power generation/non-renewable sources
307,308,3003965.0,,1994,United States,Brazil,1968116993.0,21050,Air transport
308,309,3003966.0,,1994,United States,Brazil,19888240.0,32120,Industrial development
309,310,3003967.0,,1994,United States,Brazil,18586068.0,23020,Power generation/non-renewable sources
310,311,3003968.0,,1994,United States,Brazil,18450387.0,23020,Power generation/non-renewable sources
312,313,3003970.0,,1994,United States,Brazil,25296758.0,21050,Air transport
313,314,3003971.0,,1994,United States,Brazil,147070875.0,21050,Air transport
316,317,3003974.0,,1996,United States,Brazil,23848128.0,32120,Industrial development
318,319,3003976.0,,1996,United States,Brazil,39640919.0,32120,Industrial development
321,322,3003979.0,,1996,United States,Brazil,26612781.0,32120,Industrial development
328,329,3004025.0,,1997,United States,Brazil,173828510.0,32120,Industrial development
329,330,3004026.0,,1997,United States,Brazil,36241086.0,21030,Rail transport
356,357,3004306.0,,1980,United States,Poland,6221605.0,32120,Industrial development
359,360,3004309.0,,1992,United States,Poland,364469015.0,21050,Air transport
360,361,3004310.0,,1993,United States,Poland,309072.0,32120,Industrial development
362,363,3004312.0,,1994,United States,Poland,106687093.0,21050,Air transport
363,364,3004313.0,,1995,United States,Poland,44707858.0,32120,Industrial development
364,365,3004314.0,,1995,United States,Poland,6022151.0,32120,Industrial development
365,366,3004315.0,,1996,United States,Poland,44032383.0,21050,Air transport
366,367,3004316.0,,1997,United States,Poland,263661358.0,21050,Air transport
377,378,3004340.0,,2002,United States,Brazil,30.0,32120,Industrial development
380,381,3004351.0,,1980,United States,Korea,1196452145.0,23020,Power generation/non-renewable sources
381,382,3004352.0,,1980,United States,Korea,169796706.0,23020,Power generation/non-renewable sources
382,383,3004353.0,,1980,United States,Korea,8665023.0,32120,Industrial development
385,386,3004356.0,,1981,United States,Korea,12697759.0,32120,Industrial development
386,387,3004357.0,,1981,United States,Korea,40372580.0,32120,Industrial development
388,389,3004359.0,,1985,United States,Korea,65814421.0,32120,Industrial development
389,390,3004360.0,,1996,United States,Korea,140988541.0,21050,Air transport
390,391,3004362.0,,1997,United States,Korea,364106780.0,21050,Air transport
392,393,3004378.0,,1993,United States,South Africa,140329030.0,21050,Air transport
393,394,3004379.0,,1993,United States,South Africa,133558234.0,21050,Air transport
404,405,3004404.0,,2001,United States,Brazil,121725125.0,23020,Power generation/non-renewable sources
405,406,3004405.0,,2001,United States,Brazil,121725125.0,23020,Power generation/non-renewable sources
406,407,3004406.0,,2001,United States,Brazil,44620410.0,23020,Power generation/non-renewable sources
408,409,3004408.0,,2001,United States,Brazil,220469468.0,32120,Industrial development
409,410,3004409.0,,2001,United States,Brazil,222587277.0,32120,Industrial development
412,413,3004412.0,,1998,United States,Brazil,24691696.0,32120,Industrial development
414,415,3004415.0,,2001,United States,Chile,191429881.0,21050,Air transport
415,416,3004416.0,,1999,United States,Chile,26700584.0,23020,Power generation/non-renewable sources
416,417,3004424.0,,1997,United States,Korea,95156295.0,32120,Industrial development
417,418,3004425.0,,1994,United States,Korea,346370538.0,21050,Air transport
418,419,3004426.0,,1994,United States,Korea,465335796.0,21050,Air transport
447,448,3004527.0,,1981,United States,Thailand,8324087.0,23020,Power generation/non-renewable sources
448,449,3004528.0,,1982,United States,Thailand,30839888.0,32120,Industrial development
449,450,3004529.0,,1982,United States,Thailand,13460921.0,32120,Industrial development
450,451,3004530.0,,1982,United States,Thailand,5584935.0,32120,Industrial development
453,454,3004533.0,,1989,United States,Thailand,17040193.0,23020,Power generation/non-renewable sources
454,455,3004534.0,,1990,United States,Thailand,20530045.0,32120,Industrial development
455,456,3004535.0,,1990,United States,Thailand,29287814.0,32120,Industrial development
456,457,3004538.0,,1991,United States,Thailand,39714987.0,32120,Industrial development
457,458,3004539.0,,1992,United States,Thailand,84467626.0,23020,Power generation/non-renewable sources
458,459,3004540.0,,1992,United States,Thailand,78820020.0,32120,Industrial development
460,461,3004542.0,,1992,United States,Thailand,12316178.0,32120,Industrial development
461,462,3004543.0,,1993,United States,Thailand,543437464.0,32120,Industrial development
462,463,3004544.0,,1993,United States,Thailand,167181652.0,21050,Air transport
463,464,3004545.0,,1993,United States,Thailand,67056125.0,32120,Industrial development
470,471,3004609.0,,1994,United States,Thailand,231651707.0,32120,Industrial development
471,472,3004610.0,,1994,United States,Thailand,78933453.0,32120,Industrial development
472,473,3004611.0,,1996,United States,Thailand,2134488.0,32120,Industrial development
473,474,3004612.0,,1996,United States,Thailand,8948407.0,32120,Industrial development
474,475,3004613.0,,1996,United States,Thailand,23425872.0,32120,Industrial development
476,477,3004615.0,,1997,United States,Thailand,12374925.0,32120,Industrial development
483,484,3007675.0,,1987,United States,Colombia,3780736.0,32120,Industrial development
485,486,3007748.0,,1980,United States,Korea,1709265.0,32120,Industrial development
486,487,3007749.0,,1980,United States,Korea,1893329.0,32120,Industrial development
487,488,3007750.0,,1980,United States,Korea,1495607.0,32120,Industrial development
489,490,3007752.0,,1980,United States,Korea,3204872.0,32120,Industrial development
494,495,3007764.0,,1988,United States,Korea,5950333.0,32120,Industrial development
495,496,3007765.0,,1988,United States,Korea,27992268.0,23020,Power generation/non-renewable sources
496,497,3007766.0,,1988,United States,Korea,846107.0,32120,Industrial development
497,498,3007767.0,,1988,United States,Korea,1675292.0,32120,Industrial development
498,499,3007768.0,,1988,United States,Korea,2593081.0,32120,Industrial development
500,501,3007770.0,,1989,United States,Korea,9783843.0,32120,Industrial development
501,502,3007771.0,,1989,United States,Korea,3261281.0,32120,Industrial development
502,503,3007772.0,,1989,United States,Korea,3611869.0,32120,Industrial development
503,504,3007773.0,,1989,United States,Korea,5870306.0,32120,Industrial development
504,505,3007774.0,,1989,United States,Korea,6522562.0,32120,Industrial development
505,506,3007775.0,,1989,United States,Korea,8968523.0,32120,Industrial development
507,508,3007777.0,,1990,United States,Korea,706525.0,32120,Industrial development
508,509,3007778.0,,1991,United States,Korea,28658111.0,32120,Industrial development
510,511,3007780.0,,1988,United States,Kuwait,24748632.0,23020,Power generation/non-renewable sources
513,514,3007804.0,,1987,United States,Korea,7797769.0,32120,Industrial development
514,515,3007805.0,,1988,United States,Korea,10356351.0,21050,Air transport
517,518,3007808.0,,1988,United States,Korea,5498782.0,32120,Industrial development
527,528,3007910.0,,1981,United States,Korea,9376807.0,32120,Industrial development
528,529,3007911.0,,1981,United States,Korea,17887735.0,32120,Industrial development
529,530,3007928.0,,1980,United States,Brazil,1281949.0,32120,Industrial development
533,534,3007932.0,,1983,United States,Brazil,885573.0,32120,Industrial development
535,536,3007973.0,,1984,United States,Brazil,66573742.0,32120,Industrial development
537,538,3007975.0,,1987,United States,Brazil,3118390.0,21050,Air transport
538,539,3007976.0,,1987,United States,Brazil,2859339.0,21050,Air transport
539,540,3007977.0,,1987,United States,Brazil,731221.0,32120,Industrial development
540,541,3007978.0,,1987,United States,Brazil,4298837.0,32120,Industrial development
542,543,3007980.0,,1988,United States,Brazil,67688565.0,32120,Industrial development
544,545,3007982.0,,1989,United States,Brazil,85308588.0,21050,Air transport
545,546,3007983.0,,1989,United States,Brazil,5329341.0,21050,Air transport
546,547,3007984.0,,1989,United States,Brazil,2174182.0,21050,Air transport
548,549,3007986.0,,1990,United States,Brazil,7613199.0,21050,Air transport
557,558,3008034.0,,1991,United States,Brazil,1116896.0,32120,Industrial development
559,560,3008036.0,,1992,United States,Brazil,5590403.0,21050,Air transport
560,561,3008037.0,,1992,United States,Brazil,4099354.0,32120,Industrial development
563,564,3008040.0,,1992,United States,Brazil,14219366.0,32120,Industrial development
570,571,3008048.0,,1995,United States,Brazil,75354228.0,32120,Industrial development
574,575,3008053.0,,1996,United States,Brazil,103688108.0,32120,Industrial development
575,576,3008054.0,,1996,United States,Brazil,73673130.0,32120,Industrial development
582,583,3008104.0,,1996,United States,Brazil,19100441.0,32120,Industrial development
583,584,3008106.0,,1996,United States,Brazil,195543493.0,32120,Industrial development
592,593,3008115.0,,1997,United States,Brazil,15383944.0,32120,Industrial development
595,596,3008119.0,,1998,United States,Brazil,265134342.0,23020,Power generation/non-renewable sources
596,597,3008120.0,,1998,United States,Brazil,66283586.0,23020,Power generation/non-renewable sources
612,613,3008233.0,,1984,United States,Chile,23898266.0,32120,Industrial development
618,619,3008240.0,,1985,United States,Chile,184096283.0,32120,Industrial development
622,623,3008244.0,,1986,United States,Chile,1945241.0,32120,Industrial development
623,624,3008245.0,,1986,United States,Chile,2006030.0,32120,Industrial development
628,629,3008250.0,,1990,United States,Chile,94203326.0,32120,Industrial development
630,631,3008293.0,,1991,United States,Chile,35633101.0,32120,Industrial development
632,633,3008295.0,,1991,United States,Chile,8339662.0,32120,Industrial development
634,635,3008297.0,,1992,United States,Chile,37029599.0,32120,Industrial development
636,637,3008299.0,,1992,United States,Chile,68578818.0,32120,Industrial development
641,642,3008304.0,,1990,United States,Colombia,39251386.0,32120,Industrial development
644,645,3008307.0,,1991,United States,Colombia,5746194.0,32120,Industrial development
646,647,3008310.0,,1991,United States,Colombia,4162249.0,32120,Industrial development
656,657,3008358.0,,1995,United States,Colombia,208544911.0,23020,Power generation/non-renewable sources
658,659,3008360.0,,1996,United States,Colombia,272863443.0,23020,Power generation/non-renewable sources
659,660,3008362.0,,1996,United States,Colombia,81859033.0,23020,Power generation/non-renewable sources
660,661,3008363.0,,1996,United States,Colombia,272863443.0,23020,Power generation/non-renewable sources
666,667,3008401.0,,1981,United States,Thailand,2373504.0,32120,Industrial development
667,668,3008402.0,,1982,United States,Thailand,25288708.0,32120,Industrial development
668,669,3008404.0,,1982,United States,Thailand,425683.0,32120,Industrial development
669,670,3008405.0,,1983,United States,Thailand,9220707.0,32120,Industrial development
671,672,3008407.0,,1984,United States,Thailand,5121057.0,32120,Industrial development
672,673,3008408.0,,1984,United States,Thailand,4787069.0,32120,Industrial development
673,674,3008409.0,,1984,United States,Thailand,19475380.0,32120,Industrial development
677,678,3008413.0,,1985,United States,Thailand,14580426.0,32120,Industrial development
678,679,3008414.0,,1986,United States,Thailand,2431551.0,32120,Industrial development
679,680,3008415.0,,1986,United States,Thailand,6484136.0,32120,Industrial development
680,681,3008416.0,,1987,United States,Thailand,10481601.0,32120,Industrial development
682,683,3008418.0,,1987,United States,Thailand,8926738.0,32120,Industrial development
683,684,3008419.0,,1987,United States,Thailand,3008118.0,32120,Industrial development
684,685,3008420.0,,1987,United States,Thailand,13085548.0,32120,Industrial development
691,692,3008429.0,,1990,United States,Poland,4710166.0,32120,Industrial development
692,693,3008430.0,,1990,United States,Poland,1570055.0,32120,Industrial development
697,698,3008436.0,,1991,United States,Poland,2783931.0,32120,Industrial development
699,700,3008438.0,,1991,United States,Poland,5458688.0,32120,Industrial development
703,704,3008442.0,,1992,United States,Poland,37029599.0,32120,Industrial development
705,706,3008444.0,,1992,United States,Poland,2221776.0,32120,Industrial development
706,707,3008445.0,,1992,United States,Poland,17817162.0,32120,Industrial development
708,709,3008448.0,,1988,United States,Thailand,846107.0,32120,Industrial development
709,710,3008449.0,,1988,United States,Thailand,1607603.0,32120,Industrial development
711,712,3008451.0,,1990,United States,Thailand,1786927.0,32120,Industrial development
712,713,3008452.0,,1991,United States,Thailand,9097813.0,32120,Industrial development
714,715,3008454.0,,1991,United States,Thailand,10614115.0,32120,Industrial development
715,716,3008455.0,,1991,United States,Thailand,10614115.0,32120,Industrial development
718,719,3008459.0,,1993,United States,Thailand,14491666.0,32120,Industrial development
721,722,3008469.0,,1992,United States,Poland,148118397.0,32120,Industrial development
722,723,3008470.0,,1992,United States,Poland,29623679.0,32120,Industrial development
732,733,3008480.0,,1995,United States,Poland,111223952.0,32120,Industrial development
736,737,3008484.0,,1981,United States,Korea,5440502.0,32120,Industrial development
737,738,3008485.0,,1981,United States,Korea,16542185.0,32120,Industrial development
739,740,3008487.0,,1982,United States,Korea,22225177.0,32120,Industrial development
740,741,3008488.0,,1982,United States,Korea,4807545.0,32120,Industrial development
741,742,3008489.0,,1982,United States,Korea,460297.0,32120,Industrial development
745,746,3008531.0,,1983,United States,Korea,39664826.0,32120,Industrial development
746,747,3008532.0,,1983,United States,Korea,10348022.0,32120,Industrial development
749,750,3008535.0,,1984,United States,Korea,18966878.0,32120,Industrial development
750,751,3008536.0,,1984,United States,Korea,1485107.0,32120,Industrial development
751,752,3008537.0,,1984,United States,Korea,20714676.0,32120,Industrial development
752,753,3008538.0,,1984,United States,Korea,22820568.0,32120,Industrial development
754,755,3008540.0,,1984,United States,Korea,6973173.0,32120,Industrial development
755,756,3008541.0,,1984,United States,Korea,3243336.0,32120,Industrial development
757,758,3008543.0,,1985,United States,Korea,3181184.0,32120,Industrial development
759,760,3008545.0,,1985,United States,Korea,25278813.0,32120,Industrial development
760,761,3008546.0,,1985,United States,Korea,12491154.0,32120,Industrial development
761,762,3008547.0,,1985,United States,Korea,7941656.0,32120,Industrial development
762,763,3008548.0,,1985,United States,Korea,12630993.0,32120,Industrial development
767,768,3008554.0,,1980,United States,Saudi Arabia,41475311.0,32120,Industrial development
773,774,3008594.0,,1985,United States,Korea,1325493.0,21030,Rail transport
774,775,3008595.0,,1985,United States,Korea,1472770.0,32120,Industrial development
775,776,3008596.0,,1985,United States,Korea,2319613.0,32120,Industrial development
777,778,3008598.0,,1986,United States,Korea,15561927.0,32120,Industrial development
778,779,3008599.0,,1986,United States,Korea,18390992.0,32120,Industrial development
779,780,3008600.0,,1986,United States,Korea,7030389.0,32120,Industrial development
780,781,3008601.0,,1987,United States,Korea,1354764.0,32120,Industrial development
781,782,3008602.0,,1987,United States,Korea,9451841.0,32120,Industrial development
783,784,3008604.0,,1987,United States,Korea,4962216.0,32120,Industrial development
818,819,3008850.0,,1982,United States,India,1822775.0,32120,Industrial development
819,820,3008851.0,,1982,United States,India,920594.0,32120,Industrial development
820,821,3008852.0,,1982,United States,India,2945900.0,32120,Industrial development
821,822,3008853.0,,1983,United States,India,88557.0,32120,Industrial development
830,831,3008893.0,,1981,United States,Saudi Arabia,52561778.0,23020,Power generation/non-renewable sources
835,836,3008898.0,,1984,United States,India,1870893.0,21030,Rail transport
838,839,3008901.0,,1985,United States,India,1656867.0,23020,Power generation/non-renewable sources
840,841,3008903.0,,1985,United States,India,2587234.0,32120,Industrial development
841,842,3008904.0,,1985,United States,India,835061.0,21030,Rail transport
842,843,3008906.0,,1985,United States,India,4863640.0,32120,Industrial development
843,844,3008907.0,,1986,United States,India,19938720.0,32120,Industrial development
847,848,3008911.0,,1987,United States,India,189037.0,32120,Industrial development
848,849,3008912.0,,1987,United States,India,2516868.0,23020,Power generation/non-renewable sources
849,850,3008913.0,,1987,United States,India,9227359.0,23020,Power generation/non-renewable sources
850,851,3008914.0,,1987,United States,India,2275443.0,32120,Industrial development
851,852,3008915.0,,1987,United States,India,1788848.0,32120,Industrial development
854,855,3008919.0,,1989,United States,India,1123312.0,21030,Rail transport
856,857,3008921.0,,1990,United States,India,1107919.0,32120,Industrial development
864,865,3008946.0,,1982,United States,Saudi Arabia,1488373.0,23020,Power generation/non-renewable sources
865,866,3008947.0,,1982,United States,Saudi Arabia,1636963.0,23020,Power generation/non-renewable sources
866,867,3008948.0,,1982,United States,Saudi Arabia,10483598.0,23020,Power generation/non-renewable sources
868,869,3008950.0,,1982,United States,Saudi Arabia,3247854.0,32120,Industrial development
870,871,3008952.0,,1982,United States,Saudi Arabia,18899665.0,32120,Industrial development
876,877,3008958.0,,1983,United States,Saudi Arabia,34653072.0,23020,Power generation/non-renewable sources
879,880,3008961.0,,1983,United States,Saudi Arabia,6813581.0,23020,Power generation/non-renewable sources
881,882,3008963.0,,1990,United States,India,4363043.0,32120,Industrial development
883,884,3008965.0,,1992,United States,India,2799438.0,32120,Industrial development
884,885,3008966.0,,1992,United States,India,44990963.0,32120,Industrial development
885,886,3008967.0,,1992,United States,India,13034419.0,32120,Industrial development
886,887,3008968.0,,1993,United States,India,52169997.0,32120,Industrial development
887,888,3008969.0,,1994,United States,India,21288908.0,32120,Industrial development
888,889,3008970.0,,1994,United States,India,106444541.0,23020,Power generation/non-renewable sources
889,890,3008971.0,,1994,United States,India,141926055.0,23020,Power generation/non-renewable sources
890,891,3008972.0,,1994,United States,India,283852110.0,23020,Power generation/non-renewable sources
891,892,3008973.0,,1994,United States,India,62043259.0,32120,Industrial development
899,900,3008982.0,,1997,United States,India,67032435.0,23020,Power generation/non-renewable sources
900,901,3008983.0,,1998,United States,India,13256717.0,23020,Power generation/non-renewable sources
902,903,3009005.0,,1984,United States,Saudi Arabia,4206967.0,23020,Power generation/non-renewable sources
908,909,3009012.0,,1985,United States,Saudi Arabia,525227.0,32120,Industrial development
911,912,3009015.0,,1986,United States,Saudi Arabia,5772016.0,23020,Power generation/non-renewable sources
912,913,3009016.0,,1986,United States,Saudi Arabia,6449554.0,23020,Power generation/non-renewable sources
917,918,3009034.0,,1999,United States,India,78319972.0,23020,Power generation/non-renewable sources
956,957,3009256.0,,1980,United States,Thailand,16024358.0,32120,Industrial development
960,961,3009260.0,,1980,United States,Thailand,1243490.0,32120,Industrial development
970,971,3009291.0,,1987,United States,Colombia,496222.0,32120,Industrial development
974,975,3009311.0,,1989,United States,India,533464.0,32120,Industrial development
978,979,3009322.0,,1982,United States,Korea,15956957.0,32120,Industrial development
980,981,3009330.0,,1999,United States,Chile,35772647.0,23020,Power generation/non-renewable sources
982,983,3009332.0,,2000,United States,Colombia,26303308.0,32120,Industrial development
984,985,3009336.0,,1993,United States,Brazil,250140642.0,21050,Air transport
985,986,3009346.0,,1992,United States,Thailand,30480544.0,32120,Industrial development
986,987,3009357.0,,2000,United States,Brazil,36609700.0,21030,Rail transport
987,988,3009358.0,,1999,United States,Brazil,114532255.0,21030,Rail transport
988,989,3009359.0,,2001,United States,India,2772817.0,32120,Industrial development
989,990,3009360.0,,2001,United States,India,432085373.0,21050,Air transport
991,992,3009365.0,,1997,United States,Korea,137462074.0,21050,Air transport
992,993,3009366.0,,1997,United States,Korea,414937476.0,21050,Air transport
1001,1002,3009386.0,,1980,United States,India,83089263.0,21050,Air transport
1002,1003,3009387.0,,1993,United States,India,45003433.0,23020,Power generation/non-renewable sources
1003,1004,3009389.0,,2000,United States,Chile,92075503.0,21050,Air transport
1004,1005,3009390.0,,1999,United States,Chile,169137201.0,21050,Air transport
1005,1006,3009391.0,,2000,United States,India,33966439.0,32120,Industrial development
1006,1007,3009392.0,,1999,United States,India,258079971.0,21050,Air transport
1007,1008,3009397.0,,2000,United States,Saudi Arabia,479381.0,21050,Air transport
1008,1009,3009398.0,,2000,United States,Saudi Arabia,703811645.0,21050,Air transport
1010,1011,3009400.0,,1984,United States,Chile,948344.0,32120,Industrial development
1013,1014,3009403.0,,1988,United States,Colombia,5391394.0,32120,Industrial development
1014,1015,3009404.0,,1992,United States,Colombia,51841439.0,23020,Power generation/non-renewable sources
1015,1016,3009405.0,,1992,United States,Colombia,148118397.0,23020,Power generation/non-renewable sources
1017,1018,3009422.0,,1993,United States,India,32120342.0,21050,Air transport
1019,1020,3009424.0,,1997,United States,Brazil,2014298.0,21050,Air transport
1021,1022,3009466.0,,1994,United States,South Africa,7589283.0,32120,Industrial development
1022,1023,3009479.0,,1984,United States,Brazil,804190.0,32120,Industrial development
1023,1024,3009480.0,,1985,United States,Brazil,14727703.0,32120,Industrial development
1026,1027,3009496.0,,1982,United States,Korea,3314137.0,32120,Industrial development
1027,1028,3009497.0,,1984,United States,Korea,10773869.0,32120,Industrial development
1029,1030,3009499.0,,1986,United States,Korea,36635371.0,32120,Industrial development
1033,1034,3009504.0,,1996,United States,India,1198528.0,23020,Power generation/non-renewable sources
1034,1035,3009511.0,,1991,United States,Poland,22248702.0,32120,Industrial development
1035,1036,3009512.0,,1992,United States,Poland,2334198.0,32120,Industrial development
1039,1040,3009521.0,,1984,United States,India,8535095.0,32120,Industrial development
1040,1041,3009522.0,,1988,United States,India,1462073.0,32120,Industrial development
1041,1042,3009523.0,,1991,United States,India,37119077.0,32120,Industrial development
1043,1044,3009526.0,,1998,United States,India,7954030.0,23020,Power generation/non-renewable sources
1046,1047,3009536.0,,1995,United States,Colombia,28956183.0,23020,Power generation/non-renewable sources
1047,1048,3009537.0,,1981,United States,Brazil,75730740.0,21050,Air transport
1051,1052,3009546.0,,1993,United States,Colombia,25498086.0,23020,Power generation/non-renewable sources
1054,1055,3009549.0,,1999,United States,Brazil,150113279.0,23020,Power generation/non-renewable sources
1056,1057,3009554.0,,2001,United States,Colombia,17767974.0,32120,Industrial development
1061,1062,3009572.0,,2002,United States,Korea,9725082.0,21050,Air transport
1062,1063,3009573.0,,2002,United States,Korea,114543633.0,21050,Air transport
1063,1064,3009590.0,,1984,United States,Brazil,37933756.0,32120,Industrial development
1070,1071,3009605.0,,1984,United States,Brazil,38984142.0,32120,Industrial development
1075,1076,3009611.0,,1992,United States,Chile,97256465.0,32120,Industrial development
1078,1079,3009630.0,,1998,United States,India,218735832.0,23020,Power generation/non-renewable sources
1082,1083,3009650.0,,1991,United States,Poland,10644441.0,32120,Industrial development
1092,1093,3009692.0,,1983,United States,Thailand,236153.0,32120,Industrial development
1095,1096,3009695.0,,1998,United States,Thailand,246199773.0,23020,Power generation/non-renewable sources
1096,1097,3009707.0,,2002,United States,Thailand,296538417.0,21050,Air transport
1098,1099,3009710.0,,1980,United States,Thailand,10997457.0,21050,Air transport
1099,1100,3009711.0,,1993,United States,Thailand,188029362.0,23020,Power generation/non-renewable sources
1100,1101,3009722.0,,1994,United States,Poland,35148697.0,21050,Air transport
1104,1105,3009734.0,,1996,United States,Korea,216247007.0,21050,Air transport
1109,1110,3009742.0,,1999,United States,Korea,1038974472.0,21050,Air transport
