year,coalesced_purpose_name,commitment_amount_usd_constant
1996,Mineral/Metal prospection and exploration,293652853.0
1996,Power generation/non-renewable sources,919658202.0
1996,Power generation/renewable sources,120338108.0
1996,Rail transport,391229602.0
1996,Social/ welfare services,93499965.0
1996,Telecommunications,992246816.0
1997,Air transport,1605192456.0
1997,Industrial development,766376994.0
1997,Mineral/Metal prospection and exploration,303809928.0
1997,Power generation/non-renewable sources,1291967800.0
1997,Power generation/renewable sources,470215385.0
1997,Rail transport,694798740.0
1997,Social/ welfare services,71418576.0
1997,Telecommunications,270129200.0
1998,Air transport,634116769.0
1998,Industrial development,308069616.0
1998,Mineral/Metal prospection and exploration,87206.0
1998,Power generation/non-renewable sources,961929323.0
1998,Power generation/renewable sources,12774435.0
1998,Rail transport,657668408.0
1998,Social/ welfare services,212562940.0
1998,Telecommunications,323717723.0
1999,Air transport,5896935547.0
1999,Industrial development,40875883.0
1999,Mineral/Metal prospection and exploration,83138567.0
1999,Power generation/non-renewable sources,560713336.0
1999,Power generation/renewable sources,158385618.0
1999,Rail transport,800042829.0
1999,Social/ welfare services,118053361.0
1999,Telecommunications,410867928.0
2000,Air transport,3089373356.0
2000,Industrial development,141462184.0
2000,Mineral/Metal prospection and exploration,134802462.0
2000,Power generation/non-renewable sources,3523908.0
2000,Power generation/renewable sources,5131051.0
2000,Rail transport,535115398.0
2000,Social/ welfare services,1419058679.0
2000,Telecommunications,449102487.0
2001,Air transport,2461432288.0
2001,Industrial development,494144961.0
2001,Mineral/Metal prospection and exploration,2279474.0
2001,Power generation/non-renewable sources,425306890.0
2001,Power generation/renewable sources,204411855.0
2001,Rail transport,78742572.0
2001,Social/ welfare services,418391339.0
2001,Telecommunications,116120532.0
2002,Air transport,3409273587.0
2002,Industrial development,29064744.0
2002,Mineral/Metal prospection and exploration,18213538.0
2002,Power generation/non-renewable sources,308877253.0
2002,Power generation/renewable sources,47637502.0
2002,Rail transport,317903789.0
2002,Social/ welfare services,189193002.0
2002,Telecommunications,334067486.0
2003,Air transport,1605190.0
2003,Import support (capital goods),74620674.0
2003,Industrial development,32437533.0
2003,Mineral/Metal prospection and exploration,6453025.0
2003,Power generation/non-renewable sources,505564994.0
2003,Power generation/renewable sources,16126597.0
2003,Rail transport,386716108.0
2003,Social/ welfare services,413408249.0
2003,Telecommunications,33823637.0
2004,Air transport,513119049.0
2004,Industrial development,7331241.0
2004,Mineral/Metal prospection and exploration,1054547.0
2004,Power generation/non-renewable sources,1350242.0
2004,Power generation/renewable sources,458289920.0
2004,Rail transport,678991354.0
2004,Social/ welfare services,796312991.0
2004,Telecommunications,3685399.0
2005,Air transport,410669869.0
2005,Industrial development,6703637.0
2005,Mineral/Metal prospection and exploration,11289609.0
2005,Power generation/non-renewable sources,185195321.0
2005,Power generation/renewable sources,182849973.0
2005,Rail transport,223491419.0
2005,Social/ welfare services,766717891.0
2005,Telecommunications,595366.0
2006,Air transport,278918.0
2006,Industrial development,9213317.0
2006,Mineral/Metal prospection and exploration,1474041.0
2006,Power generation/non-renewable sources,616036.0
2006,Power generation/renewable sources,223553347.0
2006,Rail transport,697248639.0
2006,Social/ welfare services,1499146442.0
2006,Telecommunications,198757.0
2007,Air transport,777396.0
2007,Industrial development,2652404.0
2007,Mineral/Metal prospection and exploration,1498063.0
2007,Power generation/non-renewable sources,132164.0
2007,Power generation/renewable sources,15479641.0
2007,Rail transport,161756943.0
2007,Social/ welfare services,395077858.0
2007,Telecommunications,243478.0
2008,Air transport,947246.0
2008,Import support (capital goods),71540.0
2008,Industrial development,5278467.0
2008,Mineral/Metal prospection and exploration,1137705.0
2008,Power generation/non-renewable sources,888204.0
2008,Power generation/renewable sources,181083150.0
2008,Rail transport,1945744781.0
2008,Social/ welfare services,709105782.0
2008,Telecommunications,62893.0
2009,Air transport,2206650.0
2009,Industrial development,7334558.0
2009,Mineral/Metal prospection and exploration,552446.0
2009,Power generation/non-renewable sources,86235329.0
2009,Power generation/renewable sources,242645248.0
2009,Rail transport,1726078347.0
2009,Social/ welfare services,709783323.0
2009,Telecommunications,486644.0
2010,Air transport,1015388.0
2010,Import support (capital goods),1896.0
2010,Industrial development,78456408.0
2010,Power generation/non-renewable sources,1612781.0
2010,Power generation/renewable sources,178425707.0
2010,Rail transport,2769998813.0
2010,Social/ welfare services,260603166.0
2010,Telecommunications,2603981.0
2011,Air transport,4105579.0
2011,Industrial development,15188216.0
2011,Mineral/Metal prospection and exploration,1217712.0
2011,Power generation/non-renewable sources,200948.0
2011,Power generation/renewable sources,1036425472.0
2011,Rail transport,436777967.0
2011,Social/ welfare services,128044941.0
2011,Telecommunications,774579.0
2012,Air transport,4397101.0
2012,Industrial development,2569208.0
2012,Mineral/Metal prospection and exploration,545570.0
2012,Power generation/non-renewable sources,49672035.0
2012,Power generation/renewable sources,389711520.0
2012,Rail transport,1619976788.0
2012,Social/ welfare services,70213003.0
2012,Telecommunications,1611860.0
2013,Air transport,5627464.0
2013,Industrial development,4937413.0
2013,Mineral/Metal prospection and exploration,2839501.0
2013,Power generation/non-renewable sources,250838515.0
2013,Power generation/renewable sources,336238470.0
2013,Rail transport,2251372351.0
2013,Social/ welfare services,78053299.0
2013,Telecommunications,5520572.0
